gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0021701218,114,PT02M49.00S,1,1610612745,HOU,203991,Capela,C. Capela,0,0,0,,0,,,0,v,SUB: Mbah a Moute FOR Capela,Substitution,,0,0,93
0021701218,121,PT02M49.00S,1,1610612745,HOU,201935,Harden,J. Harden,0,0,0,,0,14,18,32,v,Harden Free Throw 1 of 3 (6 PTS),Free Throw,Free Throw 1 of 3,0,0,94
0021701218,122,PT02M49.00S,1,1610612745,HOU,201935,Harden,J. Harden,0,0,0,,0,14,19,33,v,Harden Free Throw 2 of 3 (7 PTS),Free Throw,Free Throw 2 of 3,0,0,95
0021701218,123,PT02M49.00S,1,1610612745,HOU,201935,Harden,J. Harden,0,0,0,,0,14,20,34,v,Harden Free Throw 3 of 3 (8 PTS),Free Throw,Free Throw 3 of 3,0,0,96
0021701218,124,PT02M32.00S,1,1610612747,LAL,1628404,Hart,J. Hart,2,255,26,Missed,1,,,0,h,MISS Hart 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,97
0021701218,125,PT02M29.00S,1,1610612745,HOU,201935,Harden,J. Harden,0,0,0,,0,,,0,v,Harden REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,98
0021701218,126,PT02M06.00S,1,1610612745,HOU,101123,Green,G. Green,163,196,25,Missed,1,,,0,v,MISS Green 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,99
0021701218,127,PT02M05.00S,1,1610612747,LAL,1627826,Zubac,I. Zubac,0,0,0,,0,,,0,h,Zubac REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,100
0021701218,128,PT01M53.00S,1,1610612745,HOU,201601,Mbah a Moute,L. Mbah a Moute,0,0,0,,0,,,0,v,Mbah a Moute Personal Take Foul (P1.T3) (M.Davis),Foul,Personal Take,1,0,101
0021701218,130,PT01M53.00S,1,1610612747,LAL,1627780,Payton II,G. Payton II,0,0,0,,0,,,0,h,SUB: Ingram FOR Payton II,Substitution,,0,0,102
0021701218,131,PT01M53.00S,1,1610612745,HOU,201935,Harden,J. Harden,0,0,0,,0,,,0,v,SUB: Paul FOR Harden,Substitution,,0,0,103
0021701218,135,PT01M36.00S,1,1610612747,LAL,101112,Frye,C. Frye,157,96,18,Made,1,16,20,36,h,Frye 18' Jump Shot (2 PTS) (Ennis 1 AST),Made Shot,Jump Shot,1,2,104
0021701218,137,PT01M15.00S,1,1610612745,HOU,101108,Paul,C. Paul,-153,232,28,Made,1,16,23,39,v,Paul 28' 3PT Jump Shot (6 PTS),Made Shot,Jump Shot,1,3,105
0021701218,138,PT01M00.00S,1,1610612747,LAL,1627826,Zubac,I. Zubac,0,0,0,,0,,,0,h,Zubac Lost Ball Turnover (P1.T5),Turnover,Lost Ball,1,0,106
0021701218,138,PT01M00.00S,1,1610612745,HOU,201601,Mbah a Moute,L. Mbah a Moute,0,0,0,,0,,,0,v,Mbah a Moute STEAL (1 STL),,,1,0,107
0021701218,140,PT00M54.00S,1,1610612745,HOU,101108,Paul,C. Paul,108,244,27,Missed,1,,,0,v,MISS Paul 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,108
0021701218,141,PT00M49.60S,1,1610612747,LAL,201281,Ingram,A. Ingram,0,0,0,,0,,,0,h,Ingram REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,109
0021701218,142,PT00M37.80S,1,1610612747,LAL,101112,Frye,C. Frye,122,236,27,Missed,1,,,0,h,MISS Frye 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,110
0021701218,143,PT00M35.10S,1,1610612745,HOU,101123,Green,G. Green,0,0,0,,0,,,0,v,Green REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,111
0021701218,144,PT00M30.90S,1,1610612745,HOU,101108,Paul,C. Paul,-98,262,28,Missed,1,,,0,v,MISS Paul 28' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,1,3,112
0021701218,145,PT00M26.80S,1,1610612747,LAL,1627826,Zubac,I. Zubac,0,0,0,,0,,,0,h,Zubac REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,113
0021701218,146,PT00M18.10S,1,1610612747,LAL,101112,Frye,C. Frye,0,0,0,,0,,,0,h,Frye Bad Pass Turnover (P1.T6),Turnover,Bad Pass,1,0,114
0021701218,146,PT00M18.10S,1,1610612745,HOU,2403,Hilario,Nene,0,0,0,,0,,,0,v,Nene STEAL (1 STL),,,1,0,115
0021701218,148,PT00M01.30S,1,1610612745,HOU,201569,Gordon,E. Gordon,233,65,24,Missed,1,,,0,v,MISS Gordon 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,116
0021701218,149,PT00M00.10S,1,0,,1610612745,,,0,0,0,,0,,,0,v,Rockets Rebound,Rebound,Unknown,0,0,117
0021701218,150,PT00M00.00S,1,0,,0,,,0,0,0,,0,16,23,39,,End of 1st Period (11:05 PM EST),period,end,1,0,118
0021701218,153,PT12M00.00S,2,0,,0,,,0,0,0,,0,16,23,39,,Start of 2nd Period (11:08 PM EST),period,start,0,0,119
0021701218,154,PT11M41.00S,2,1610612747,LAL,203898,Ennis,T. Ennis,47,9,5,Missed,1,,,0,h,MISS Ennis 5' Driving Hook Shot,Missed Shot,Driving Hook Shot,1,2,120
0021701218,155,PT11M37.00S,2,1610612745,HOU,201601,Mbah a Moute,L. Mbah a Moute,0,0,0,,0,,,0,v,Mbah a Moute REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,121
